,MisconceptionName,LLM_Response,MisconceptionId
0,Does not know that angles in a triangle sum to 180 degrees,"Question Text: In a triangle, the two base angles are 60 degrees and 70 degrees. What is the measure of the third angle?
Correct Answer Text: 50 degrees
Wrong Answer Text: 130 degrees",0
1,Uses dividing fractions method for multiplying fractions,"Question Text: What is \( \frac{1}{2} \times \frac{3}{4} \) ?
Correct Answer Text: \( \frac{1 \times 3}{2 \times 4} = \frac{3}{8} \)
Wrong Answer Text: \( \frac{1}{2} \div \frac{3}{4} = \frac{1}{2} \times \frac{4}{3} = \frac{4}{6} = \frac{2}{3} \)",1
2,Believes there are 100 degrees in a full turn,"Question Text: A bicycle wheel makes a full turn. If it starts at 0 degrees, what angle will it be at the end of the turn?
Correct Answer Text: 360 degrees
Wrong Answer Text: 100 degrees",2
3,"Thinks a quadratic without a non variable term, can not be factorised","Question Text: Can the quadratic expression \( x^2 + 5x \) be factorised?

Correct Answer Text: Yes, \( x^2 + 5x = x(x + 5) \)

Wrong Answer Text: No, it cannot be factorised because it does not have a constant term.",3
4,Believes addition of terms and powers of terms are equivalent e.g. a + c = a^c,"Question Text: Simplify the expression \( 2x + 3x \) and \( 2x^3 \). Are they equal?
Correct Answer Text: No, \( 2x + 3x = 5x \) and \( 2x^3 \) is \( 2x \) cubed, they are not equal.
Wrong Answer Text: Yes, they are equal.",4
5,"When measuring a reflex angle, gives the acute or obtuse angle that sums to 360 instead","Question Text: What is the size of the reflex angle shown in the diagram?


 Correct Answer Text: \( 240^{\circ} \)


 Wrong Answer Text: \( 120^{\circ} \)",5
6,Can identify the multiplier used to form an equivalent fraction but does not apply to the numerator,"Question Text: A recipe for making 6 cupcakes requires 3/4 cup of sugar. If you want to make 12 cupcakes, how much sugar do you need?
Correct Answer Text: 6/4 or 1 1/2 cups
Wrong Answer Text: 3/8 cup",6
7,Believes gradient = change in y,"Question Text: A line on a graph goes through the points (2, 5) and (4, 9). What is the gradient of the line?
Correct Answer Text: \( \frac{9-5}{4-2}=2 \)
Wrong Answer Text: 4",7
8,Student thinks that any two angles along a straight line are equal,"Question Text: 
Angles A and B are two angles along a straight line. If angle A is 60 degrees, what is the measure of angle B?

Correct Answer Text: 
120 degrees

Wrong Answer Text: 
60 degrees",8
9,Thinks there are 180 degrees in a full turn,"Question Text: A car turns around in a circle to face the opposite direction. How many degrees has it turned?
Correct Answer Text: 180 is half a turn, so the car has turned 180 degrees to face the opposite direction, but a full turn would be 360 degrees.
Correct Answer Text: 360/2 = 180 degrees for half a turn, but for a full turn it is 360 degrees, so  360 degrees.
Wrong Answer Text: 180 degrees",9
10,"Believes duration can be read from a timetable, rather than calculating from start and end times","Question Text: A train journey starts at 9:45 AM and ends at 11:15 AM. What is the duration of the journey?

Correct Answer Text: 1 hour 30 minutes

Wrong Answer Text: 11:15 AM",10
11,"When reading value from graph, reads from the wrong axes.","Question Text: 
The graph below shows the relationship between the number of hours a machine operates and the amount of fuel it consumes.

[Insert a simple graph with hours on the x-axis and fuel consumption on the y-axis, with a clear point at (5, 20)]

If the machine operates for 5 hours, how much fuel does it consume?

Correct Answer Text: 20 units

Wrong Answer Text: 5 units",11
